"","model","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16"
"126","Volvo S80",32280,1999,107,205,10.9,11.4,6.5,8.3,199,1527,4851,1861,1493,2835,533,480
"127","VW Fox",9650,1198,40,148,17.5,7.4,5,5.9,139,1053,3828,1660,1544,2465,357,260
"128","VW Polo",12150,1198,44,157,16.1,7.3,4.5,5.5,128,1067,3970,1682,1485,2470,483,280
"129","VW Golf",16650,1390,59,172,13.9,8.5,5.1,6.4,149,1217,4199,1779,1512,2575,533,350
"130","VW Golf Variant",18500,1390,59,173,14.9,8.5,5.1,6.4,149,1331,4534,1781,1504,2578,539,505
"131","VW Jetta",20425,1595,75,186,12.2,9.9,6,7.4,176,1343,4554,1781,1459,2575,527,527
"132","VW Touran",21550,1595,75,179,12.9,11,6.5,8.1,193,1502,4407,1794,1635,2677,588,695
"133","VW Passat",23525,1595,75,190,12.4,10.5,6,7.6,179,1418,4765,1820,1472,2709,532,565
"134","VW Passat Variant",24700,1595,75,187,12.8,10.8,6.1,7.8,186,1473,4774,1820,1517,2709,557,603
"135","VW Sharan",28875,1390,110,197,10.7,9.2,6.1,7.2,167,1723,4854,1904,1720,2919,567,267
"136","VW Tiguan",28675,1390,110,192,9.6,10.1,6.7,8,185,1621,4457,1809,1686,2604,549,470
